Med1 Med2 Caracteristca1 Caracteristca2 Caracteristca3 Caracteristca4
CAFERGOT FIORINAL 0.438095238095 0.25 0.0 0.0
CAFERGOT IODINE 0.268571428571 0.125 0.0 0.0
CAFERGOT RISPERIDONE 0.546534653465 0.2727272727272727 0.2727272727272727 0.0
CALAN COLACE 0.701754385965 0.5833333333333334 0.5 0.16666666666666666
CALCIFEROL CALCITRIOL 0.818518518519 0.75 0.7 0.5
CALCIFEROL OSMITROL 0.534693877551 0.35 0.4 0.0
CALCITRIOL CALCIFEROL 0.818518518519 0.75 0.7 0.5
CALCITRIOL NEORAL 0.414285714286 0.15 0.19999999999999996 0.0
CAPTOPRIL CARVEDILOL 0.426666666667 0.4 0.30000000000000004 0.2
CARAFATE CAFERGOT 0.485714285714 0.5 0.25 0.25
CARAFATE OCUFEN 0.44 0.25 0.125 0.0
CARBATROL CARBRITAL 0.713725490196 0.6666666666666666 0.5555555555555556 0.4444444444444444
CARBATROL NEUPOGEN 0.276923076923 0.1111111111111111 0.0 0.0
CARBOPLATIN ACETAZOLAMIDE 0.509677419355 0.38461538461538464 0.3076923076923077 0.0
CARBOPLATIN ATGAM 0.345454545455 0.18181818181818182 0.18181818181818177 0.0
CARBOPLATIN CISPLATIN 0.717857142857 0.6363636363636364 0.6363636363636364 0.09090909090909091
CARBOPLATIN OPRELVEKIN 0.500869565217 0.36363636363636365 0.2727272727272727 0.0
CARBOPLATIN VANCENASE 0.348148148148 0.18181818181818182 0.18181818181818177 0.0
CARBRITAL CARBATROL 0.713725490196 0.6666666666666666 0.5555555555555556 0.4444444444444444
CARBRITAL CHLORPROMAZINE 0.483720930233 0.32142857142857145 0.2857142857142857 0.07142857142857142
CARBRITAL DYNABAC 0.35 0.2222222222222222 0.11111111111111116 0.0
CARDENE CARDIZEM 0.8 0.625 0.625 0.5
CARDENE CARDURA 0.675675675676 0.6428571428571429 0.5714285714285714 0.5714285714285714
CARDENE CODEINE 0.685714285714 0.6428571428571429 0.5714285714285714 0.14285714285714285
CARDENE NAPRELAN 0.444444444444 0.25 0.25 0.0
CARDENE PROBENECID 0.584615384615 0.35 0.30000000000000004 0.0
CARDENE@SR BUPIVACAINE 0.453846153846 0.3181818181818182 0.0 0.0
CARDENE@SR CARDIZEM@SR 0.814678899083 0.6818181818181818 0.7272727272727273 0.36363636363636365
CARDENE@SR DEPAKOTE 0.369230769231 0.25 0.09999999999999998 0.0
CARDENE@SR ELDEPRYL 0.450526315789 0.25 0.19999999999999996 0.0
CARDIEM CARDIZEM 0.864197530864 0.8125 0.875 0.625
CARDIZEM CARDENE 0.8 0.625 0.625 0.5
CARDIZEM CARDIEM 0.864197530864 0.8125 0.875 0.625
CARDIZEM NORCURON 0.554545454545 0.25 0.125 0.0
CARDIZEM PREMPRO 0.338823529412 0.25 0.125 0.0
CARDIZEM@SR AMICAR 0.409090909091 0.22727272727272727 0.2727272727272727 0.0
CARDIZEM@SR CARDENE@SR 0.814678899083 0.6818181818181818 0.7272727272727273 0.36363636363636365
CARDIZEM@SR NAPROSYN 0.407843137255 0.22727272727272727 0.09090909090909094 0.0
CARDIZEM@SR PROCHLORPERAZINE 0.391780821918 0.21875 0.125 0.0
CARDURA CARDENE 0.675675675676 0.6428571428571429 0.5714285714285714 0.5714285714285714
CARDURA COUMADIN 0.332467532468 0.375 0.125 0.125
CARDURA LORTAB 0.377464788732 0.21428571428571427 0.1428571428571429 0.0
CARDURA NASALCROM 0.490909090909 0.2222222222222222 0.2222222222222222 0.0
CARDURA RIDAURA 0.657142857143 0.5 0.4285714285714286 0.0
CARTEOLOL CARVEDILOL 0.744554455446 0.7 0.7 0.3
CARTEOLOL CEFZIL 0.513580246914 0.2777777777777778 0.33333333333333337 0.1111111111111111
CARTIA@XT PARAFON@FORTE 0.437037037037 0.2692307692307692 0.3076923076923077 0.0
CARTIA@XT PROCARDIA@XL 0.666666666667 0.5833333333333334 0.5833333333333333 0.0
CARTIA@XT RATGAM 0.312820512821 0.2777777777777778 0.33333333333333337 0.0
CARTIA@XT TRANDATE 0.409090909091 0.2777777777777778 0.11111111111111116 0.0
CARVEDILOL CAPTOPRIL 0.426666666667 0.4 0.30000000000000004 0.2
CARVEDILOL CARTEOLOL 0.744554455446 0.7 0.7 0.3
CATAFLAM CATAPRES 0.663636363636 0.5625 0.5 0.5
CATAFLAM DIPRIVAN 0.513636363636 0.125 0.125 0.0
CATAPRES CATAFLAM 0.663636363636 0.5625 0.5 0.5
CEFACLOR BREVITAL 0.481818181818 0.25 0.0 0.0
CEFACLOR CEPHALEXIN 0.440816326531 0.4 0.30000000000000004 0.2
CEFACLOR LANOXIN 0.261728395062 0.25 0.0 0.0
CEFAZOLIN CEFPROZIL 0.579591836735 0.6111111111111112 0.5555555555555556 0.3333333333333333
CEFOL CEFZIL 0.734426229508 0.6666666666666666 0.6666666666666667 0.5
CEFOL PROSOM 0.426229508197 0.16666666666666666 0.16666666666666663 0.0
CEFOTAN CEFTIN 0.856338028169 0.6428571428571429 0.7142857142857143 0.42857142857142855
CEFOTAXIME CEFUROXIME 0.78 0.7 0.7 0.3
CEFOTAXIME DARVON 0.357142857143 0.1 0.09999999999999998 0.0
CEFOTAXIME NELFINAVIR 0.415384615385 0.35 0.30000000000000004 0.0
CEFPROZIL CEFACLOR 0.589473684211 0.5 0.33333333333333337 0.3333333333333333
CEFPROZIL CEFAZOLIN 0.579591836735 0.6111111111111112 0.5555555555555556 0.3333333333333333
CEFPROZIL CEFUROXIME 0.574257425743 0.65 0.6 0.3
CEFPROZIL CORGARD 0.382608695652 0.2777777777777778 0.2222222222222222 0.1111111111111111
CEFTAZIDIME CEFTIZOXIME 0.824561403509 0.7272727272727273 0.7272727272727273 0.36363636363636365
CEFTIN CEFOTAN 0.856338028169 0.6428571428571429 0.7142857142857143 0.42857142857142855
CEFTIN CEFZIL 0.676470588235 0.75 0.6666666666666667 0.5
CEFTIN CIPRO 0.485245901639 0.3333333333333333 0.16666666666666663 0.16666666666666666
CEFTIZOXIME CEFTAZIDIME 0.824561403509 0.7272727272727273 0.7272727272727273 0.36363636363636365
CEFTIZOXIME LOSARTAN 0.388118811881 0.09090909090909091 0.0 0.0
CEFUROXIME CATAFLAM 0.442553191489 0.3 0.19999999999999996 0.1
CEFUROXIME CEFOTAXIME 0.78 0.7 0.7 0.3
CEFUROXIME CEFPROZIL 0.574257425743 0.65 0.6 0.3
CEFUROXIME DEFEROXAMINE 0.770909090909 0.5 0.5833333333333333 0.0
CEFUROXIME LEVOBUNOLOL 0.284112149533 0.2727272727272727 0.18181818181818177 0.0
CEFUROXIME PEDIAPRED 0.4 0.25 0.09999999999999998 0.0
CEFUROXIME REGLAN 0.385714285714 0.1 0.09999999999999998 0.0
CEFZIL CEFOL 0.734426229508 0.6666666666666666 0.6666666666666667 0.5
CEFZIL CEFTIN 0.676470588235 0.75 0.6666666666666667 0.5
CEFZIL KEFZOL 0.835294117647 0.5833333333333334 0.6666666666666667 0.0
CEFZIL SEROQUEL 0.405405405405 0.1875 0.25 0.0
CELEBREX CELEXA 0.567567567568 0.625 0.5 0.5
CELEBREX CEREBRA 0.78024691358 0.6875 0.625 0.25
CELEBREX CEREBYX 0.716049382716 0.625 0.625 0.25
CELEBREX HUMULIN 0.36049382716 0.125 0.0 0.0
CELEBREX NEURONTIN 0.250549450549 0.2222222222222222 0.11111111111111116 0.0
CELEBREX PARAPLATIN 0.489795918367 0.1 0.0 0.0
CELEXA CELEBREX 0.567567567568 0.625 0.5 0.5
CELEXA CEREBRA 0.489552238806 0.5714285714285714 0.5714285714285714 0.2857142857142857
CELEXA CEREBYX 0.555223880597 0.5 0.4285714285714286 0.2857142857142857
CELEXA COLACE 0.766666666667 0.4166666666666667 0.33333333333333337 0.16666666666666666
CELEXA PLAVIX 0.5125 0.25 0.0 0.0
CELEXA ZYPREXA 0.567164179104 0.35714285714285715 0.4285714285714286 0.0
CENTOXIN CYTOXAN 0.79012345679 0.625 0.625 0.125
CEPHALEXIN CEFACLOR 0.440816326531 0.4 0.30000000000000004 0.2
CEPHALEXIN CIPROFLOXACIN 0.5184 0.4230769230769231 0.46153846153846156 0.07692307692307693
CEPHALEXIN FOLINIC@ACID 0.342342342342 0.25 0.08333333333333337 0.0
CEPHALEXIN ZOSYN 0.444444444444 0.05 0.09999999999999998 0.0
CEREBRA CELEBREX 0.78024691358 0.6875 0.625 0.25
CEREBRA CELEXA 0.489552238806 0.5714285714285714 0.5714285714285714 0.2857142857142857
CEREBRA REGRANEX 0.587654320988 0.4375 0.25 0.0
CEREBYX CELEBREX 0.716049382716 0.625 0.625 0.25
CEREBYX CELEXA 0.555223880597 0.5 0.4285714285714286 0.2857142857142857
CEREBYX PYRIDOXINE 0.64367816092 0.15 0.19999999999999996 0.0
CHLORPROMAZINE BENTYL 0.235714285714 0.07142857142857142 0.0 0.0
CHLORPROMAZINE CHLORPROPAMIDE 0.85641025641 0.7857142857142857 0.7857142857142857 0.5714285714285714
CHLORPROMAZINE NEVIRAPINE 0.334375 0.2857142857142857 0.3571428571428571 0.0
CHLORPROMAZINE PROCHLORPERAZINE 0.746987951807 0.65625 0.625 0.0
CHLORPROPAMIDE CHLORPROMAZINE 0.85641025641 0.7857142857142857 0.7857142857142857 0.5714285714285714
CHLORPROPAMIDE FUDR 0.243137254902 0.07142857142857142 0.0714285714285714 0.0
CIPRO CEFTIN 0.485245901639 0.3333333333333333 0.16666666666666663 0.16666666666666666
CIPROFLOXACIN BUPRENEX 0.434782608696 0.19230769230769232 0.23076923076923073 0.0
CIPROFLOXACIN CEPHALEXIN 0.5184 0.4230769230769231 0.46153846153846156 0.07692307692307693
CIPROFLOXACIN IMDUR 0.204081632653 0.11538461538461539 0.07692307692307687 0.0
CIPROFLOXACIN PENICILLAMINE 0.414492753623 0.38461538461538464 0.23076923076923073 0.0
CIPROFLOXACIN PREPIDIL 0.382608695652 0.23076923076923078 0.23076923076923073 0.0
CISPLATIN CARBOPLATIN 0.717857142857 0.6363636363636364 0.6363636363636364 0.09090909090909091
CISPLATIN LAMISIL 0.359090909091 0.3333333333333333 0.11111111111111116 0.0
CISPLATIN TRIHEXYPHENIDYL 0.333333333333 0.2 0.19999999999999996 0.0
CITRACAL CITRUCEL 0.918181818182 0.75 0.75 0.5
CITRACAL RELAFEN 0.325925925926 0.25 0.125 0.0
CITRUCEL CITRACAL 0.918181818182 0.75 0.75 0.5
CLINORIL CISPLATIN 0.395789473684 0.3333333333333333 0.2222222222222222 0.1111111111111111
CLINORIL CLOZARIL 0.804545454545 0.625 0.625 0.25
CLINORIL ORUVAIL 0.384415584416 0.375 0.25 0.0
CLOMIPHENE CLOMIPRAMINE 0.681355932203 0.6666666666666666 0.6666666666666667 0.5
CLOMIPHENE IDAMYCIN 0.514893617021 0.15 0.19999999999999996 0.0
CLOMIPHENE VIRACEPT 0.30612244898 0.2 0.09999999999999998 0.0
CLOMIPRAMINE CLOMIPHENE 0.681355932203 0.6666666666666666 0.6666666666666667 0.5
CLOMIPRAMINE DESIPRAMINE 0.707438016529 0.625 0.6666666666666667 0.0
CLOMIPRAMINE PROCARDIA@XL 0.3808 0.2916666666666667 0.08333333333333337 0.0
CLOMIPRAMINE SENOKOT 0.312871287129 0.08333333333333333 0.0 0.0
CLONAZEPAM CLONIDINE 0.728712871287 0.5 0.4 0.4
CLONAZEPAM CLORAZEPATE 0.727927927928 0.7727272727272727 0.7272727272727273 0.2727272727272727
CLONAZEPAM KLONOPIN 0.657142857143 0.4 0.4 0.0
CLONAZEPAM LORAZEPAM 0.764356435644 0.75 0.8 0.0
CLONAZEPAM PENICILLIN@G@POTASSIUM 0.37037037037 0.18181818181818182 0.2727272727272727 0.0
CLONIDINE CLONAZEPAM 0.728712871287 0.5 0.4 0.4
CLONIDINE KLONOPIN 0.773626373626 0.5 0.5555555555555556 0.0
CLONIDINE ZESTRIL 0.227272727273 0.1111111111111111 0.11111111111111116 0.0
CLORAZEPATE CLONAZEPAM 0.727927927928 0.7727272727272727 0.7272727272727273 0.2727272727272727
CLORAZEPATE LANOXIN 0.344680851064 0.13636363636363635 0.18181818181818177 0.0
CLORAZEPATE PROPRANOLOL 0.379661016949 0.22727272727272727 0.18181818181818177 0.0
CLOZARIL CLINORIL 0.804545454545 0.625 0.625 0.25
CLOZARIL PRINIVIL 0.55 0.3125 0.25 0.0
CLOZARIL TRIFLUOPERAZINE 0.469421487603 0.23333333333333334 0.2666666666666667 0.0
CODEINE CARDENE 0.685714285714 0.6428571428571429 0.5714285714285714 0.14285714285714285
CODEINE IODINE 0.71186440678 0.5714285714285714 0.7142857142857143 0.0
CODEINE LODINE 0.666666666667 0.5714285714285714 0.7142857142857143 0.0
COGNEX CEFTIZOXIME 0.395604395604 0.22727272727272727 0.18181818181818177 0.09090909090909091
COGNEX CORGARD 0.426666666667 0.42857142857142855 0.4285714285714286 0.2857142857142857
COGNEX DANTRIUM 0.292307692308 0.125 0.0 0.0
COGNEX FIORICET 0.313513513514 0.25 0.25 0.0
