Medicamento1 Medicamento2 Clase
AVANDIA COUMADIN 1
AVANDIA MIRAPEX 0
AVANDIA PRANDIN 1
AVAPRO ANAPROX 1
AVAPRO CISPLATIN 0
AZITHROMYCIN ERYTHROMYCIN 1
AZITHROMYCIN PROCANBID 0
AZITHROMYCIN TOLBUTAMIDE 0
BENADRYL BENYLIN 1
BENTYL GUAIFENESIN 0
BENTYL PROVENTIL 1
BENTYL RENAGEL 0
BENYLIN BENADRYL 1
BENYLIN PROSOM 0
BENYLIN VENTOLIN 1
BEPRIDIL PREPIDIL 1
BETAGAN BETOPTIC 1
BETAGAN HALDOL 0
BETAGAN LONITEN 0
BETAGAN PENICILLIN@G@POTASSIUM 0
BETOPTIC BETAGAN 1
BETOPTIC VANCOMYCIN 0
BREVIBLOC BREVITAL 1
BREVIBLOC LITHOBID 0
BREVITAL BREVIBLOC 1
BUMEX BUPRENEX 1
BUMEX CYTOXAN 0
BUMEX DESIPRAMINE 0
BUMEX IMIPENEM 0
BUMEX PERMAX 1
BUMEX TAXOTERE 0
BUPIVACAINE ESMOLOL 0
BUPIVACAINE ROPIVACAINE 1
BUPRENEX BUMEX 1
BUPRENEX HALOTESTIN 0
BUPRENEX KLONOPIN 0
BUPRENEX LEVOBUNOLOL 0
BUPRENEX OCULAR@LUBRICANTS 0
BUPRENEX PROVERA 0
BUPROPION BUSPIRONE 1
BUPROPION DEFEROXAMINE 0
BUPROPION LAMICTAL 0
BUPROPION SERENTIL 0
BUSPIRONE BUPROPION 1
BUSPIRONE EULEXIN 0
BUSPIRONE NORTRIPTYLINE 0
CAFERGOT CARAFATE 1
CAFERGOT FIORINAL 0
CAFERGOT IODINE 0
CAFERGOT RISPERIDONE 0
CALAN COLACE 1
CALCIFEROL CALCITRIOL 1
CALCIFEROL OSMITROL 0
CALCITRIOL CALCIFEROL 1
CALCITRIOL NEORAL 0
CAPTOPRIL CARVEDILOL 1
CARAFATE CAFERGOT 1
CARAFATE OCUFEN 0
CARBATROL CARBRITAL 1
CARBATROL NEUPOGEN 0
CARBOPLATIN ACETAZOLAMIDE 0
CARBOPLATIN ATGAM 0
CARBOPLATIN CISPLATIN 1
CARBOPLATIN OPRELVEKIN 0
CARBOPLATIN VANCENASE 0
CARBRITAL CARBATROL 1
CARBRITAL CHLORPROMAZINE 0
CARBRITAL DYNABAC 0
CARDENE CARDIZEM 1
CARDENE CARDURA 1
CARDENE CODEINE 1
CARDENE NAPRELAN 0
CARDENE PROBENECID 0
CARDENE@SR BUPIVACAINE 0
CARDENE@SR CARDIZEM@SR 1
CARDENE@SR DEPAKOTE 0
CARDENE@SR ELDEPRYL 0
CARDIEM CARDIZEM 1
CARDIZEM CARDENE 1
CARDIZEM CARDIEM 1
CARDIZEM NORCURON 0
CARDIZEM PREMPRO 0
CARDIZEM@SR AMICAR 0
CARDIZEM@SR CARDENE@SR 1
CARDIZEM@SR NAPROSYN 0
CARDIZEM@SR PROCHLORPERAZINE 0
CARDURA CARDENE 1
CARDURA COUMADIN 1
CARDURA LORTAB 0
CARDURA NASALCROM 0
CARDURA RIDAURA 1
CARTEOLOL CARVEDILOL 1
CARTEOLOL CEFZIL 0
CARTIA@XT PARAFON@FORTE 0
CARTIA@XT PROCARDIA@XL 1
CARTIA@XT RATGAM 0
CARTIA@XT TRANDATE 0
CARVEDILOL CAPTOPRIL 1
CARVEDILOL CARTEOLOL 1
CATAFLAM CATAPRES 1
CATAFLAM DIPRIVAN 0
CATAPRES CATAFLAM 1
CEFACLOR BREVITAL 0
CEFACLOR CEPHALEXIN 1
CEFACLOR LANOXIN 0
CEFAZOLIN CEFPROZIL 1
CEFOL CEFZIL 1
CEFOL PROSOM 0
CEFOTAN CEFTIN 1
CEFOTAXIME CEFUROXIME 1
CEFOTAXIME DARVON 0
CEFOTAXIME NELFINAVIR 0
CEFPROZIL CEFACLOR 0
CEFPROZIL CEFAZOLIN 1
CEFPROZIL CEFUROXIME 1
CEFPROZIL CORGARD 0
CEFTAZIDIME CEFTIZOXIME 1
CEFTIN CEFOTAN 1
CEFTIN CEFZIL 1
CEFTIN CIPRO 1
CEFTIZOXIME CEFTAZIDIME 1
CEFTIZOXIME LOSARTAN 0
CEFUROXIME CATAFLAM 0
CEFUROXIME CEFOTAXIME 1
CEFUROXIME CEFPROZIL 1
CEFUROXIME DEFEROXAMINE 1
CEFUROXIME LEVOBUNOLOL 0
CEFUROXIME PEDIAPRED 0
CEFUROXIME REGLAN 0
CEFZIL CEFOL 1
CEFZIL CEFTIN 1
CEFZIL KEFZOL 1
CEFZIL SEROQUEL 0
CELEBREX CELEXA 1
CELEBREX CEREBRA 1
CELEBREX CEREBYX 1
CELEBREX HUMULIN 0
CELEBREX NEURONTIN 0
CELEBREX PARAPLATIN 0
CELEXA CELEBREX 1
CELEXA CEREBRA 1
CELEXA CEREBYX 1
CELEXA COLACE 0
CELEXA PLAVIX 0
CELEXA ZYPREXA 1
CENTOXIN CYTOXAN 1
CEPHALEXIN CEFACLOR 1
CEPHALEXIN CIPROFLOXACIN 1
CEPHALEXIN FOLINIC@ACID 0
CEPHALEXIN ZOSYN 0
CEREBRA CELEBREX 1
CEREBRA CELEXA 1
CEREBRA REGRANEX 0
CEREBYX CELEBREX 1
CEREBYX CELEXA 1
CEREBYX PYRIDOXINE 0
CHLORPROMAZINE BENTYL 0
CHLORPROMAZINE CHLORPROPAMIDE 1
CHLORPROMAZINE NEVIRAPINE 0
CHLORPROMAZINE PROCHLORPERAZINE 1
CHLORPROPAMIDE CHLORPROMAZINE 1
CHLORPROPAMIDE FUDR 0
CIPRO CEFTIN 1
CIPROFLOXACIN BUPRENEX 0
CIPROFLOXACIN CEPHALEXIN 1
CIPROFLOXACIN IMDUR 0
CIPROFLOXACIN PENICILLAMINE 0
CIPROFLOXACIN PREPIDIL 0
CISPLATIN CARBOPLATIN 1
CISPLATIN LAMISIL 0
CISPLATIN TRIHEXYPHENIDYL 0
CITRACAL CITRUCEL 1
CITRACAL RELAFEN 0
CITRUCEL CITRACAL 1
CLINORIL CISPLATIN 0
CLINORIL CLOZARIL 1
CLINORIL ORUVAIL 1
CLOMIPHENE CLOMIPRAMINE 1
CLOMIPHENE IDAMYCIN 0
CLOMIPHENE VIRACEPT 0
CLOMIPRAMINE CLOMIPHENE 1
CLOMIPRAMINE DESIPRAMINE 1
CLOMIPRAMINE PROCARDIA@XL 0
CLOMIPRAMINE SENOKOT 0
CLONAZEPAM CLONIDINE 1
CLONAZEPAM CLORAZEPATE 1
CLONAZEPAM KLONOPIN 1
CLONAZEPAM LORAZEPAM 1
CLONAZEPAM PENICILLIN@G@POTASSIUM 0
CLONIDINE CLONAZEPAM 1
CLONIDINE KLONOPIN 1
CLONIDINE ZESTRIL 0
CLORAZEPATE CLONAZEPAM 1
CLORAZEPATE LANOXIN 0
CLORAZEPATE PROPRANOLOL 0
CLOZARIL CLINORIL 1
CLOZARIL PRINIVIL 0
CLOZARIL TRIFLUOPERAZINE 0
CODEINE CARDENE 1
CODEINE IODINE 1
CODEINE LODINE 1
COGNEX CEFTIZOXIME 0
COGNEX CORGARD 1
COGNEX DANTRIUM 0
COGNEX FIORICET 0
COGNEX SELEGILINE 0
COGNEX TEGRETOL 0
COLACE ATROPINE 0
COLACE CALAN 1
COLACE K@DUR 0
COLACE SERACULT 0
COMBIVIR EPIVIR 1
COMBIVIR PAXIL 0
COMBIVIR PIPERONYL@BUTOXIDE 0
CORGARD COGNEX 1
CORGARD VANTIN 0
CORTEF LORTAB 1
CORTEF SALMETEROL 0
COUMADIN AVANDIA 1
COUMADIN CARDURA 1
COUMADIN GLIPIZIDE 0
COUMADIN VANTIN 0
COVERA PROVERA 1
COZAAR HYZAAR 1
COZAAR PRIMAXIN 0
COZAAR ZOCOR 1
CYCLOBENZAPRINE CYPROHEPTADINE 1
CYCLOBENZAPRINE VICODIN 0
CYCLOPHOSPHAMIDE CEFACLOR 0
CYCLOPHOSPHAMIDE CYCLOSPORINE 1
CYCLOSERINE CYCLOSPORINE 1
CYCLOSERINE TRIPHASIL 0
CYCLOSPORINE AMBIEN 0
CYCLOSPORINE CYCLOPHOSPHAMIDE 1
CYCLOSPORINE CYCLOSERINE 1
CYPROHEPTADINE CYCLOBENZAPRINE 1
CYPROHEPTADINE FOSAMAX 0
CYTARABINE CYTOSAR 1
CYTARABINE CYTOXAN 1
CYTARABINE LEVSIN 0
CYTOGAM GAMIMUNE@N 1
CYTOSAR CYTARABINE 1
CYTOSAR CYTOVENE 1
CYTOSAR CYTOXAN 1
CYTOSAR FAM@PREN@FORTE 0
CYTOSAR LURIDE 0
CYTOSAR OXYCODONE 0
CYTOSAR@U MIACALCIN 0
CYTOSAR@U NEOSAR 1
CYTOSAR@U TETRACYCLINE 0
CYTOSAR@U XANAX 0
CYTOTEC ACCUPRIL 0
CYTOTEC CEFZIL 0
CYTOTEC CYTOXAN 1
CYTOVENE CYTOSAR 1
CYTOXAN CENTOXIN 1
CYTOXAN CYTARABINE 1
CYTOXAN CYTOSAR 1
CYTOXAN CYTOTEC 1
DANAZOL DANTRIUM 1
DANAZOL LANOXIL 0
DANTRIUM DANAZOL 1
DARVON DIOVAN 1
DARVON MITOMYCIN 0
DARVON OSMITROL 0
DAUNORUBICIN DOXORUBICIN 1
DEFEROXAMINE CEFUROXIME 1
DEFEROXAMINE DESERIL 0
DEFEROXAMINE NEBCIN 0
DEFEROXAMINE ROXANOL 0
DEFEROXAMINE SERENTIL 0
DEMEROL DESYREL 1
DEMEROL ZEMURON 0
DENAVIR DESFERAL 0
DENAVIR INDINAVIR 1
DENAVIR LOTRISONE 0
DENAVIR RYNATUSS 0
DEPAKOTE OXYCODONE 0
DEPAKOTE SENOKOT 1
DEPAKOTE VOSOL 0
DEPO@MEDROL ADDERALL 0
DEPO@MEDROL CYCLOSERINE 0
DEPO@MEDROL SOLU@MEDROL 1
DESERIL CYTOVENE 0
DESERIL DESYREL 1
DESERIL GENGRAF 0
DESERIL RYNATUSS 0
DESFERAL AMERGE 0
DESFERAL DEXFERRUM 1
DESIPRAMINE CLOMIPRAMINE 1
DESIPRAMINE IMIPRAMINE 1
DESIPRAMINE LUDIOMIL 0
DESIPRAMINE NORTRIPTYLINE 1
DESYREL DEMEROL 1
DESYREL DESERIL 1
DESYREL TEGRETOL 0
DEXFERRUM DESFERAL 1
DEXFERRUM DOLOBID 0
DEXFERRUM OMNIPEN 0
DIABETA DOXYCYCLINE 0
DIABETA NIMBEX 0
DIABETA ZEBETA 1
DIAMOX AZITHROMYCIN 0
DIAMOX DOBUTREX 1
DIAZEPAM CELEBREX 0
DIAZEPAM DITROPAN 1
DIAZEPAM LORAZEPAM 1
DIAZEPAM VERELAN 0
DICYCLOMINE DIPHENHYDRAMINE 1
DIFLUCAN CYCLOPHOSPHAMIDE 0
DIFLUCAN DIPRIVAN 1
DIFLUCAN PREVEON 0
DIOVAL DIOVAN 1
DIOVAL MITOMYCIN 0
DIOVAN DARVON 1
DIOVAN DIOVAL 1
DIOVAN ZYBAN 1
DIPHENATOL DIPHENIDOL 1
DIPHENATOL OCULAR@LUBRICANTS 0
DIPHENATOL TETRADECYL@SULFATE 0
DIPHENHYDRAMINE DICYCLOMINE 1
DIPHENHYDRAMINE NASALCROM 0
DIPHENIDOL DIPHENATOL 1
DIPHENIDOL NOROXIN 0
DIPRIVAN AMILORIDE 0
DIPRIVAN DIFLUCAN 1
DITROPAN DIAZEPAM 1
DITROPAN MEDIGESIC 0
DITROPAN NICODERM 0
DITROPAN TORECAN 0
DOBUTAMINE DOPAMINE 1
DOBUTAMINE EPIVIR 0
DOBUTREX DIAMOX 1
DOBUTREX PLAVIX 0
DOLOBID SLO@BID 1
DOLOBID SUFENTANIL@CITRATE 0
DOLOBID URIDON 0
DOPAMINE DOBUTAMINE 1
DOXEPIN DOXYCYCLINE 1
DOXEPIN IMDUR 0
DOXORUBICIN DAUNORUBICIN 1
DOXORUBICIN IDARUBICIN 1
DOXORUBICIN PENTOBARBITAL 0
DOXORUBICIN VISTARIL 0
DOXYCYCLINE DOXEPIN 1
DOXYCYCLINE PROCTOCORT 0
DOXYCYCLINE RYNATAN 0
DYNABAC DYNACIRC 1
DYNABAC PERCOCET 0
DYNACIN DYNACIRC 1
DYNACIN FLUDARA 0
DYNACIRC DYNABAC 1
DYNACIRC DYNACIN 1
DYNACIRC HYDROCORTISONE 0
DYNACIRC PROVENTIL 0
DYNACIRC QUININE 0
E@VISTA EVISTA 1
EDECRIN EULEXIN 1
EFUDEX EQUIGESIC 0
EFUDEX EURAX 1
ELAVIL CALCIFEROL 0
ELAVIL NAPROSYN 0
ELAVIL ORUVAIL 1
ELAVIL PLAVIX 1
ELAVIL TRIDRATE 0
ELDEPRYL COVERA 0
ELDEPRYL ENALAPRIL 1
ELDEPRYL VOLMAX 0
ELDOPAQUE@FORTE ELDOQUIN@FORTE 1
ELDOPAQUE@FORTE GEMZAR 0
ELDOPAQUE@FORTE NORFLOXACIN 0
ELDOQUIN@FORTE ELDOPAQUE@FORTE 1
ELDOQUIN@FORTE LAMICTAL 0
ELDOQUIN@FORTE TAMIFLU 0
ELMIRON CYTOGAM 0
ELMIRON IMURAN 1
ENALAPRIL ELDEPRYL 1
ENALAPRIL FLUOROURACIL 0
ENALAPRIL GLYBURIDE 0
EPIVIR CARBOPLATIN 0
EPIVIR COMBIVIR 1
EPIVIR UROCIT@K 0
EQUAGESIC EQUIGESIC 1
EQUIGESIC BENTYL 0
EQUIGESIC EQUAGESIC 1
EQUIGESIC LIBRAX 0
EQUIGESIC PERIACTIN 0
EREX MORPHINE 0
EREX PITRESSIN 0
EREX UREX 1
ERYTHROCIN ETHMOZINE 1
ERYTHROCIN ZIAC 0
ERYTHROMYCIN AZITHROMYCIN 1
ERYTHROMYCIN MIACALCIN 0
ERYTHROMYCIN PENICILLAMINE 0
ERYTHROMYCIN VISTARIL 0
ESKALITH CARDIZEM@SR 0
ESKALITH CYTARABINE 0
ESKALITH ESTRATEST 1
ESKALITH LOTRIMIN 0
ESKALITH NICARDIPINE 0
ESKALITH PERMETHRIN 0
ESMOLOL BUSPIRONE 0
ESMOLOL OSMITROL 1
ESTRADERM TESTODERM 1
ESTRATAB ESTRATEST 1
ESTRATEST ESKALITH 1
ESTRATEST ESTRATAB 1
ESTRATEST MPM@GELPAD 0
ETHMOZINE AZITHROMYCIN 0
ETHMOZINE ERYTHROCIN 1
ETHMOZINE VIOXX 0
ETIDRONATE ALPRAZOLAM 0
ETIDRONATE ETOMIDATE 1
ETIDRONATE ETRETINATE 1
ETOMIDATE ETIDRONATE 1
ETOMIDATE VOLTAREN 0
ETRETINATE CEFTIN 0
ETRETINATE COVERA 0
ETRETINATE ETIDRONATE 1
EULEXIN EDECRIN 1
EULEXIN PACLITAXEL 0
EULEXIN ZONALON 0
EURAX EFUDEX 1
EURAX PREVEON 0
EURAX ULTANE 0
EVISTA AVAPRO 0
EVISTA E@VISTA 1
EVISTA METOLAZONE 0
EVISTA RISPERIDONE 0
FAM@PREN@FORTE AMRINONE 0
FAM@PREN@FORTE PARAFON@FORTE 1
FENTANYL@CITRATE OMNIPEN 0
FENTANYL@CITRATE SUFENTANIL@CITRATE 1
FIORICET CLORAZEPATE 0
FIORICET FIORINAL 1
FIORICET NIMBEX 0
FIORINAL FIORICET 1
FLOMAX FOSAMAX 1
FLOMAX OS@CAL 0
FLOMAX PROCHLORPERAZINE 0
FLOMAX VOLMAX 1
FLUCYTOSINE FLUOROURACIL 1
FLUDARA FUDR 1
FLUDARA IDARUBICIN 0
FLUDARA INDERAL 0
FLUDARA LODINE 0
FLUDARA SYMMETREL 0
FLUDARABINE FLUMADINE 1
FLUMADINE FLUDARABINE 1
FLUOROURACIL FLUCYTOSINE 1
FLURAZEPAM TEMAZEPAM 1
FLURAZEPAM TRANDATE 0
FOLIC@ACID ERYTHROCIN 0
FOLIC@ACID FOLINIC@ACID 1
FOLIC@ACID VENTOLIN 0
FOLINIC@ACID FOLIC@ACID 1
FOLINIC@ACID HALOTESTIN 0
FOSAMAX FLOMAX 1
FUDR FAM@PREN@FORTE 0
FUDR FLUDARA 1
FUROSEMIDE CEREBRA 0
FUROSEMIDE DARVON 0
FUROSEMIDE LENTE 0
FUROSEMIDE TORSEMIDE 1
GAMIMUNE@N CHLORPROPAMIDE 0
GAMIMUNE@N CYTOGAM 1
GAMIMUNE@N T@PA 0
GEMZAR EVISTA 0
GEMZAR ZINECARD 1
GENGRAF EDECRIN 0
GENGRAF HYDROCODONE 0
GENGRAF PROGRAF 1
GLIPIZIDE GLYBURIDE 1
GLIPIZIDE VEXOL 0
GLUCOPHAGE GLUTOFAC 1
GLUCOPHAGE PROPULSID 0
GLUCOTROL GLYBURIDE 1
GLUCOTROL PERIACTIN 0
GLUCOTROL UREX 0
GLUTOFAC GLUCOPHAGE 1
GLUTOFAC INDERAL 0
GLYBURIDE CLONIDINE 0
GLYBURIDE GLIPIZIDE 1
GLYBURIDE GLUCOTROL 1
GLYBURIDE MINOXIDIL 0
GRANULEX MYLERAN 0
GRANULEX REGRANEX 1
GUAIFENESIN CLOZARIL 0
GUAIFENESIN GUANFACINE 1
GUAIFENESIN TORECAN 0
GUANFACINE GUAIFENESIN 1
HALDOL ATARAX 0
HALDOL STADOL 1
HALOPERIDOL HALOTESTIN 1
HALOTESTIN HALOPERIDOL 1
HALOTESTIN HYDROCODONE 0
HALOTESTIN PENICILLAMINE 0
HEMOCCULT FLUDARABINE 0
HEMOCCULT PRINIVIL 0
HEMOCCULT PROCHLORPERAZINE 0
HEMOCCULT SERACULT 1
HEPARIN DOBUTREX 0
HEPARIN HESPAN 1
HERCEPTIN FLUDARA 0
HERCEPTIN PERCEPTIN 1
HESPAN HEPARIN 1
HESPAN HERCEPTIN 0
HESPAN TRIFLUOPERAZINE 0
HUMALOG HUMULIN 1
HUMULIN HUMALOG 1
HYDRALAZINE DENAVIR 0
HYDRALAZINE HYDROXYZINE 1
HYDRALAZINE IDAMYCIN 0
HYDROCODONE CYCLOSPORINE 0
HYDROCODONE HYDROCORTISONE 1
HYDROCODONE NEPHROX 0
HYDROCORTISONE HUMALOG 0
HYDROCORTISONE HYDROCODONE 1
HYDROMORPHONE ADRIAMYCIN 0
HYDROMORPHONE CARBOPLATIN 0
HYDROMORPHONE CEFACLOR 0
HYDROMORPHONE DIFLUCAN 0
HYDROMORPHONE MORPHINE 1
HYDROXYZINE HYDRALAZINE 1
HYDROXYZINE MONOPRIL 0
HYPERGEL DIAZEPAM 0
HYPERGEL MPM@GELPAD 1
HYPERGEL TORSEMIDE 0
HYZAAR COZAAR 1
HYZAAR ERYTHROCIN 0
HYZAAR VERSED 0
IDAMYCIN ADRIAMYCIN 1
IDAMYCIN HUMULIN 0
IDARUBICIN ANSAID 0
IDARUBICIN DOXORUBICIN 1
IDARUBICIN PRAVACHOL 0
IDARUBICIN SERTRALINE 0
IMDUR CYTOSAR@U 0
IMDUR IMURAN 1
IMDUR INDERAL@LA 1
IMDUR K@DUR 1
IMIPENEM OMNIPEN 1
IMIPRAMINE DESIPRAMINE 1
IMIPRAMINE VINCRISTINE 0
IMURAN ELMIRON 1
IMURAN IMDUR 1
IMURAN TENORMIN 1
INDERAL ADDERALL 1
INDERAL ISORDIL 1
INDERAL TORADOL 1
INDERAL@LA IMDUR 1
INDINAVIR AMOXICILLIN 0
INDINAVIR DENAVIR 1
INDINAVIR NASALIDE 0
IODINE CODEINE 1
IODINE LODINE 1
IODINE NIFEDIPINE 0
ISORDIL ASPARAGINASE 0
ISORDIL HALOTESTIN 0
ISORDIL INDERAL 1
ISORDIL SELEGILINE 0
K@DUR IMDUR 1
K@PHOS@NEUTRAL ETHMOZINE 0
K@PHOS@NEUTRAL NEUTRA@PHOS@K 1
K@PHOS@NEUTRAL OCUPRESS 0
KEFZOL AVAPRO 0
KEFZOL CEFZIL 1
KEFZOL PARAPLATIN 0
KLONOPIN CLONAZEPAM 1
KLONOPIN CLONIDINE 1
L@DOPA FAM@PREN@FORTE 0
L@DOPA LEVODOPA 1
L@DOPA METHYLDOPA 1
L@DOPA PROBENECID 0
L@DOPA ZINACEF 0
LACRILUBE CARVEDILOL 0
LACRILUBE ELDEPRYL 0
LACRILUBE RIDAURA 0
LACRILUBE SURGILUBE 1
LAMICEL LAMISIL 1
LAMICEL OCUMYCIN 0
LAMICEL PREMARIN 0
LAMICTAL ATGAM 0
LAMICTAL CYTOSAR@U 0
LAMICTAL LAMISIL 1
LAMICTAL LEVOBUNOLOL 0
LAMICTAL LOMOTIL 1
LAMICTAL LUDIOMIL 1
LAMICTAL PINDOLOL 0
LAMISIL ANSAID 0
LAMISIL LAMICEL 1
LAMISIL LAMICTAL 1
LAMISIL LOMOTIL 1
LAMISIL ORTHO@CEPT 0
LAMIVUDINE LAMOTRIGINE 1
LAMOTRIGINE LAMIVUDINE 1
LAMOTRIGINE LEVOBUNOLOL 0
LAMOTRIGINE PAXIL 0
LANOXIL ATIVAN 0
LANOXIL GEMZAR 0
LANOXIL LOMOTIL 1
LANOXIL PITRESSIN 0
LANOXIN LASIX 1
LANOXIN LAXIS 1
LANOXIN LEVOXINE 1
LANOXIN LEVOXYL 1
LANOXIN LOMOTIL 1
LANOXIN LOMOVIL 1
LANOXIN LONOX 1
LANOXIN XANAX 1
LANTUS LENTE 1
LANTUS LOMOTIL 0
LASIX AMIODARONE 0
LASIX LANOXIN 1
LASIX LOMOTIL 1
LASIX LUVOX 1
LAXIS LANOXIN 1
LAXIS LOMOVIL 1
LAXIS PLAVIX 0
LENTE CYTOXAN 0
LENTE DIPHENATOL 0
LENTE LANTUS 1
LEUCOVORIN LEUKERAN 1
LEUCOVORIN LEUKINE 1
LEUCOVORIN PLENDIL 0
LEUKERAN ALKERAN 1
LEUKERAN FUDR 0
LEUKERAN GLYBURIDE 0
LEUKERAN GUANFACINE 0
LEUKERAN LEUCOVORIN 1
LEUKERAN LEUKINE 1
LEUKERAN OCUMYCIN 0
LEUKERAN TNKASE 0
LEUKINE LEUCOVORIN 1
LEUKINE LEUKERAN 1
LEUKINE NAPROSYN 0
LEUKINE ORTHO@CEPT 0
LEVBID ALTACE 0
LEVBID LITHOBID 1
LEVBID LOPID 1
LEVBID LORABID 1
LEVBID NOROXIN 0
LEVBID VOLMAX 0
LEVOBUNOLOL CYTOSAR@U 0
LEVOBUNOLOL LEVOCABASTINE 1
LEVOCABASTINE LEVOBUNOLOL 1
LEVODOPA CITRUCEL 0
LEVODOPA L@DOPA 1
LEVODOPA METHYLDOPA 1
LEVOXINE CALCIFEROL 0
LEVOXINE LANOXIN 1
LEVOXINE LEVOXYL 1
LEVOXINE LEVSIN 1
LEVOXINE OMNIPEN 0
LEVOXINE SULFADIAZINE 0
LEVOXYL LANOXIN 1
LEVOXYL LEVOXINE 1
LEVOXYL LUVOX 1
LEVSIN LEVOXINE 1
LIBRAX CHLORPROPAMIDE 0
LIBRAX LIBRIUM 1
LIBRIUM LIBRAX 1
LIBRIUM TOLBUTAMIDE 0
LIORESAL CEFACLOR 0
LIORESAL DIOVAL 0
LIORESAL LOTENSIN 1
LIORESAL NIMBEX 0
LISINOPRIL RISPERDAL 1
LISINOPRIL TOBRADEX 0
