Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
7723,0.00014,0.00878,14.81,2,White,A
12984,0.00088,0.00996,11.23,2,Blue White,B
29560,188000,6.02,-4.01,3,Blue-white,B
8945,38,2.487,0.12,3,Blue-White,A
14060,1092,5.745,-2.04,3,Blue-white,A
16390,1278,5.68,-3.32,3,Blue-white,B
25070,14500,5.92,-3.98,3,Blue-white,B
28700,16790,6.4,-4.09,3,Blue-white,B
26140,14520,5.49,-3.8,3,Blue-white,B
20120,4720,6.78,-3.4,3,Blue-white,B
13023,998,6.21,-1.38,3,Blue-white,A
16790,0.0014,0.0121,12.87,2,Blue,B
15680,0.00122,0.0114,11.92,2,Blue,B
14982,0.00118,0.0113,12.23,2,Blue,B
13340,0.00109,0.0116,12.9,2,Blue,B
18340,0.00134,0.0124,11.22,2,Blue,B
19920,0.00156,0.0142,11.34,2,Blue,B
24020,0.00159,0.0127,10.55,2,Blue,B
23092,0.00132,0.0104,10.18,2,Blue,B
17920,0.00111,0.0106,11.66,2,Blue,B
19360,0.00125,0.00998,11.62,2,Blue,B
22350,12450,6.36,-3.67,3,Blue-white,B
10012,552,5.856,0.013,3,Blue-white,A
13089,788,5.992,-0.12,3,Blue-white,A
22012,6748,6.64,-2.55,3,Blue-white,B
17140,883,5.653,-2.64,3,Blue-white,B
8250,9.25,1.93,-0.98,3,yellow-white,F
